Time,Price,Volume
1775692804.22236,3823,1359200
1775692806.22939,3809,1470900
1775692808.23719,3806,1497100
1775692810.24334,3810,1681700
1775692812.24884,3813,1692600
1775692814.23694,3817,1717300
1775692816.24066,3808,1732000
1775692818.24853,3809,1745800
1775692820.24359,3809,1749300
1775692822.26614,3806,1781500
1775692824.25859,3803,1789500
1775692826.2642,3803,1789500
1775692828.26926,3803,1789500
1775692830.29672,3803,1820700
1775692832.28585,3802,1845500
1775692834.30632,3802,1885100
1775692836.3115,3804,1900000
1775692838.29818,3808,1906800
1775692840.29994,3806,1931100
1775692842.30327,3797,1953500
1775692844.31037,3776,2073800
1775692846.30306,3769,2111200
1775692848.30893,3764,2139000
1775692850.30909,3767,2150700
1775692852.31475,3773,2161900
1775692854.31778,3771,2165600
1775692856.32199,3763,2184500
1775692858.32473,3757,2231900
1775692860.33572,3755,2329300
1775692862.34219,3755,2336900
1775692864.33165,3754,2357100
1775692866.34609,3749,2372600
1775692868.35293,3756,2381500
1775692870.35586,3753,2400300
1775692872.35109,3762,2413000
1775692874.37217,3761,2417100
1775692876.36471,3757,2427300
1775692878.36115,3761,2436100
1775692880.3767,3760,2444300
1775692882.37856,3757,2454800
1775692884.38308,3756,2471200
1775692886.3894,3751,2478700
1775692888.39258,3755,2487300
1775692890.397,3757,2493200
1775692892.40248,3773,2537000
1775692894.39777,3773,2559500
1775692896.41795,3774,2566100
1775692898.43712,3776,2570700
1775692900.42768,3780,2575300
1775692902.44723,3779,2587700
1775692904.45514,3780,2595000
1775692906.47395,3781,2605200
1775692908.49459,3779,2608600
1775692910.50151,3782,2633400
1775692912.50674,3781,2641600
1775692914.5157,3782,2648300
1775692916.50139,3781,2659100
1775692918.51604,3782,2666000
1775692920.51889,3778,2691100
1775692922.52421,3775,2705600
1775692924.53248,3773,2731500
1775692926.53558,3768,2747000
1775692928.5496,3767,2767700
1775692930.55213,3769,2778000
1775692932.55719,3772,2784400
1775692934.56313,3772,2791700
1775692936.57797,3770,2800500
1775692938.57956,3771,2804600
1775692940.58006,3770,2806400
1775692942.59509,3771,2810600
1775692944.5981,3772,2829500
1775692946.61772,3770,2836200
1775692948.63762,3775,2853900
1775692950.64042,3776,2856400
1775692952.62604,3782,2876200
1775692954.64321,3781,2887200
1775692956.66148,3780,2895900
1775692958.66832,3781,2913900
1775692960.68799,3778,2916800
1775692962.6736,3779,2918600
1775692964.6841,3782,2947400
1775692966.70103,3779,2956800
1775692968.71584,3780,2963200
1775692970.71923,3782,2973200
1775692972.72165,3781,2974200
1775692974.74426,3785,2983900
1775692976.75278,3784,2989700
1775692978.75822,3782,2997400
1775692980.76534,3784,3003400
1775692982.75679,3781,3005400
1775692984.75772,3781,3024300
1775692986.75723,3781,3026200
1775692988.75955,3779,3027900
1775692990.76426,3781,3030500
1775692992.76757,3780,3042500
1775692994.76925,3780,3049600
1775692996.77669,3779,3055900
1775692998.77995,3778,3074500
1775693000.76802,3779,3083400
1775693002.77131,3779,3087900
1775693004.7782,3780,3090700
1775693006.77442,3778,3097100
1775693008.79287,3778,3102600
1775693010.78336,3777,3102700
1775693012.80035,3777,3106000
1775693014.80355,3779,3119700
1775693016.81098,3781,3122600
1775693018.80292,3775,3147600
1775693020.80212,3777,3152800
1775693022.80768,3777,3162000
1775693024.81516,3776,3165100
1775693026.82931,3775,3168300
1775693028.85008,3775,3168900
1775693030.86803,3776,3171000
1775693032.88309,3776,3172200
1775693034.90375,3776,3182500
1775693036.89704,3776,3188200
1775693038.90619,3777,3189800
1775693040.8989,3779,3192200
1775693042.90633,3778,3196200
1775693044.89853,3778,3200000
1775693046.89849,3779,3206300
1775693048.90316,3776,3209500
1775693050.8938,3777,3212500
1775693052.91386,3778,3216000
1775693054.92334,3777,3219900
1775693056.92475,3776,3223100
1775693058.92783,3777,3223700
1775693060.92864,3777,3227100
1775693062.941,3776,3249300
1775693064.96188,3776,3251600
1775693066.9691,3776,3252000
1775693068.96102,3777,3262100
1775693070.96984,3775,3266600
1775693072.97562,3776,3267100
1775693074.98294,3777,3274500
1775693076.97768,3776,3277500
1775693078.98136,3775,3284600
1775693080.98439,3777,3289600
1775693082.98662,3777,3292500
1775693085.0024,3777,3295400
1775693087.02216,3776,3296800
1775693089.02106,3777,3297800
1775693091.02258,3777,3298800
1775693093.04392,3777,3299800
1775693095.04891,3775,3307500
1775693097.06282,3776,3310900
1775693099.04874,3775,3319000
1775693101.05433,3775,3322400
1775693103.06036,3779,3369300
1775693105.05074,3778,3376200
1775693107.07081,3781,3412400
1775693109.07217,3775,3487600
1775693111.08892,3777,3492300
1775693113.09025,3775,3507200
1775693115.08087,3772,3516200
1775693117.0863,3771,3596400
1775693119.10567,3771,3597500
1775693121.11254,3771,3600000
1775693123.1261,3775,3604700
1775693125.15503,3773,3608400
1775693127.15688,3773,3609800
1775693129.14441,3769,3619300
1775693131.16441,3770,3623000
1775693133.16864,3769,3625000
1775693135.17389,3766,3631000
1775693137.1929,3767,3634000
1775693139.1922,3766,3638700
1775693141.19567,3767,3648300
1775693143.20433,3767,3650200
1775693145.21122,3769,3653400
1775693147.21487,3774,3668700
1775693149.20686,3773,3682000
1775693151.2121,3775,3686100
1775693153.22648,3776,3688100
1775693155.23088,3778,3755200
1775693157.24446,3779,3757900
1775693159.24843,3779,3759400
1775693161.25498,3778,3761400
1775693163.27066,3778,3762700
1775693165.29657,3779,3770800
1775693167.30116,3787,3827900
1775693169.31587,3789,3836500
1775693171.33035,3787,3844300
1775693173.33289,3789,3851400
1775693175.33349,3792,3861100
1775693177.34059,3789,3875300
1775693179.333,3789,3878500
1775693181.33812,3790,3887300
1775693183.34379,3788,3889700
1775693185.34517,3784,3897800
1775693187.36324,3787,3903900
1775693189.38084,3788,3906500
1775693191.37806,3790,3913200
1775693193.38317,3790,3918300
1775693195.38933,3792,3918700
1775693197.37854,3789,3923000
1775693199.39352,3789,3930600
1775693201.41356,3789,3932000
1775693203.42733,3790,3935500
1775693205.44012,3795,3955900
1775693207.45421,3798,3971000
1775693209.45598,3794,3981200
1775693211.45746,3795,3990600
1775693213.46514,3794,3992600
1775693215.48338,3793,3996000
1775693217.48242,3795,3998200
1775693219.48618,3799,4008600
1775693221.50095,3801,4038300
1775693223.51356,3798,4066100
1775693225.51602,3800,4068000
1775693227.51749,3799,4069700
1775693229.53377,3797,4072900
1775693231.56147,3797,4090700
1775693233.56446,3798,4100200
1775693235.59383,3799,4109900
1775693237.59077,3800,4112600
1775693239.60673,3794,4136800
1775693241.61084,3787,4190600
1775693243.61368,3781,4230200
1775693245.61338,3783,4250900
1775693247.63139,3783,4253700
1775693249.63196,3784,4256000
1775693251.63324,3786,4274100
1775693253.63504,3784,4285600
1775693255.65009,3784,4286100
1775693257.65964,3785,4289400
1775693259.67986,3786,4291900
1775693261.67342,3786,4294800
1775693263.68771,3785,4297300
1775693265.67374,3783,4305500
1775693267.68848,3782,4324900
1775693269.70499,3780,4328200
1775693271.73221,3783,4344400
1775693273.73857,3783,4344900
1775693275.75761,3781,4362000
1775693277.76753,3782,4365800
1775693279.78917,3783,4368500
1775693281.78995,3782,4370200
1775693283.80661,3782,4378100
1775693285.81891,3786,4389100
1775693287.83277,3783,4395900
1775693289.83389,3783,4397100
1775693291.83615,3783,4398700
1775693293.85044,3782,4399900
1775693295.85985,3781,4403400
1775693297.85103,3783,4405600
1775693299.84937,3782,4406600
1775693301.84949,3780,4410200
1775693303.84998,3776,4473300
1775693305.8503,3780,4483700
1775693307.86353,3780,4485800
1775693309.88919,3780,4495500
1775693311.89287,3784,4506200
1775693313.89588,3784,4507500
1775693315.91115,3785,4508400
1775693317.91635,3785,4510900
1775693319.92464,3789,4524200
1775693321.92794,3791,4536600
1775693323.93068,3792,4538400
1775693325.94794,3791,4552700
1775693327.94641,3789,4557300
1775693329.9473,3787,4569100
1775693331.95447,3788,4569500
1775693333.97484,3790,4573200
1775693335.99586,3790,4573600
1775693338.00309,3790,4579000
1775693340.00347,3791,4580600
1775693342.00351,3789,4586200
1775693344.02197,3789,4590000
1775693346.03489,3788,4591000
1775693348.04854,3789,4592300
1775693350.05028,3787,4601200
1775693352.05438,3786,4603500
1775693354.05982,3789,4614500
1775693356.06044,3788,4622500
1775693358.06331,3786,4629600
1775693360.06508,3783,4638600
1775693362.0722,3783,4644200
1775693364.07342,3782,4645300
1775693366.08272,3782,4649500
1775693368.10517,3781,4650700
1775693370.09651,3781,4652500
1775693372.11323,3777,4675300
1775693374.11652,3775,4772000
1775693376.11628,3774,4773600
1775693378.13063,3770,4776600
1775693380.13307,3771,4780700
1775693382.13346,3771,4787000
1775693384.13958,3772,4788700
1775693386.12948,3773,4790000
1775693388.13495,3774,4793500
1775693390.14447,3770,4813000
1775693392.16456,3771,4815700
1775693394.16285,3774,4819300
1775693396.17547,3772,4819400
1775693398.17774,3772,4823700
1775693400.19561,3773,4826000
1775693402.21483,3771,4830700
1775693404.2191,3771,4833200
1775693406.2193,3764,4902700
1775693408.20396,3764,4919600
1775693410.20471,3764,4922800
1775693412.22602,3765,4932000
1775693414.24287,3768,4944600
1775693416.24713,3769,4952200
1775693418.25135,3768,4954000
1775693420.25211,3767,4955800
1775693422.25166,3766,4959900
1775693424.25691,3767,4960500
1775693426.25952,3765,4968500
1775693428.26573,3767,4971200
1775693430.2703,3767,4972500
1775693432.29281,3764,4978000
1775693434.30855,3765,4980500
1775693436.31042,3764,4995800
1775693438.29815,3764,4999000
1775693440.30005,3766,5009000
1775693442.30009,3765,5010400
1775693444.30209,3764,5013500
1775693446.32135,3763,5019900
1775693448.3372,3763,5024400
1775693450.35146,3763,5035900
1775693452.35332,3763,5037100
1775693454.35443,3767,5047000
1775693456.3472,3766,5047900
1775693458.35071,3766,5048000
1775693460.35675,3766,5052500
1775693462.36179,3766,5056000
1775693464.37647,3769,5067800
1775693466.37733,3768,5073800
1775693468.39638,3769,5075500
1775693470.41883,3768,5080100
1775693472.43532,3769,5085900
1775693474.42495,3766,5093400
1775693476.42733,3768,5094500
1775693478.42382,3767,5095500
1775693480.44527,3767,5095900
1775693482.46229,3767,5098100
1775693484.46927,3766,5102000
1775693486.46375,3767,5102300
1775693488.46978,3768,5103000
1775693490.47238,3769,5108700
1775693492.5007,3768,5108800
1775693494.51691,3768,5112000
1775693496.52041,3763,5141100
1775693498.5413,3764,5148700
1775693500.551,3766,5151100
1775693502.57177,3768,5152300
1775693504.57035,3766,5153100
1775693506.58719,3765,5158200
1775693508.60213,3765,5158400
1775693510.60078,3766,5160300
1775693512.60254,3765,5161300
1775693514.61112,3765,5183300
1775693516.60373,3765,5188400
1775693518.62088,3765,5194400
1775693520.638,3765,5196200
1775693522.65319,3765,5198000
1775693524.65804,3766,5205300
1775693526.67768,3767,5206600
1775693528.68143,3766,5212100
1775693530.68741,3765,5217500
1775693532.70242,3763,5228100
1775693534.71647,3764,5283600
1775693536.71449,3764,5336500
1775693538.71352,3765,5344600
1775693540.71869,3761,5352800
1775693542.70897,3762,5353000
1775693544.72651,3761,5356700
1775693546.74688,3757,5448800
1775693548.76102,3757,5462200
1775693550.7619,3759,5481800
1775693552.75194,3759,5488000
1775693554.758,3758,5494800
1775693556.77732,3757,5495800
1775693558.77815,3755,5512000
1775693560.78385,3756,5517200
1775693562.80561,3757,5530000
1775693564.81017,3756,5537400
1775693566.813,3756,5539300
1775693568.80325,3758,5544100
1775693570.80351,3753,5563500
1775693572.82239,3753,5576000
1775693574.82435,3753,5578200
1775693576.82893,3753,5582000
1775693578.82064,3752,5585900
1775693580.82771,3754,5594600
1775693582.82978,3756,5635800
1775693584.83231,3753,5640900
1775693586.8356,3755,5642200
1775693588.83355,3757,5648200
1775693590.83968,3756,5651200
1775693592.84535,3757,5651900
1775693594.8486,3755,5652900
1775693596.86864,3754,5679600
1775693598.88435,3755,5682500
1775693600.8817,3755,5687200
1775693602.88367,3755,5687900
1775693604.88414,3754,5692600
1775693606.88414,3756,5695000
1775693608.88747,3759,5709800
1775693610.87712,3757,5726900
1775693612.87955,3756,5730500
1775693614.87754,3755,5731900
1775693616.88089,3758,5743700
1775693618.88469,3758,5744500
1775693620.88771,3759,5746500
1775693622.88726,3757,5748500
1775693624.90648,3758,5754200
1775693626.91184,3757,5770800
1775693628.93363,3757,5774700
1775693630.92595,3757,5779500
1775693632.94613,3761,5800900
1775693634.94355,3760,5805600
1775693636.9469,3760,5806500
1775693638.93882,3758,5818900
1775693640.95485,3758,5818900
1775693642.95835,3757,5822500
1775693644.95492,3756,5829100
1775693646.95903,3756,5854100
1775693648.97565,3754,5863600
1775693650.97949,3756,5866300
1775693652.9811,3755,5881100
1775693654.98583,3755,5882000
1775693656.98795,3756,5887600
1775693658.98968,3756,5889000
1775693661.0061,3761,5963900
1775693663.02238,3762,5971300
1775693665.03988,3762,5973600
1775693667.04476,3762,5973600
1775693669.0344,3760,5974500
1775693671.05555,3759,5981700
1775693673.0568,3760,5986700
1775693675.05994,3758,6003200
1775693677.05999,3760,6005100
