Time,Price,Volume
1775002213.46136,3816,4016600
1775002215.45742,3836,4171400
1775002217.46622,3832,4278400
1775002219.4564,3824,4317100
1775002221.46293,3823,4380400
1775002223.45803,3824,4632700
1775002225.45527,3824,4675100
1775002227.46766,3812,4695700
1775002229.45955,3815,4730700
1775002231.46954,3814,4745900
1775002233.46299,3808,4806500
1775002235.46106,3807,4851900
1775002237.45636,3806,4879600
1775002239.46643,3807,4904400
1775002241.45997,3805,4939800
1775002243.47,3799,5043500
1775002245.48214,3802,5098400
1775002247.4771,3800,5111200
1775002249.47202,3797,5125000
1775002251.47514,3800,5195900
1775002253.47103,3799,5207000
1775002255.47679,3797,5229600
1775002257.47054,3802,5286800
1775002259.47484,3802,5293100
1775002261.47515,3801,5302600
1775002263.49157,3801,5326800
1775002265.49519,3792,5414300
1775002267.49268,3798,5436700
1775002269.50526,3795,5461700
1775002271.51342,3798,5466600
1775002273.50766,3798,5492300
1775002275.50578,3801,5510400
1775002277.51274,3799,5530400
1775002279.50506,3791,5604500
1775002281.51989,3789,5611700
1775002283.53376,3791,5642400
1775002285.54354,3791,5655500
1775002287.53827,3787,5673900
1775002289.54586,3789,5676500
1775002291.53838,3785,5705000
1775002293.55034,3783,5707800
1775002295.56632,3781,5740300
1775002297.5783,3781,5767900
1775002299.572,3779,5797900
1775002301.58063,3778,5836200
1775002303.59335,3778,5846500
1775002305.58906,3776,5864200
1775002307.58743,3776,5868100
1775002309.58452,3774,5878600
1775002311.59416,3774,5888100
1775002313.58362,3776,5888100
1775002315.58725,3775,5895300
1775002317.58119,3775,5903700
1775002319.6053,3771,5933300
1775002321.60181,3771,5954200
1775002323.59607,3781,6027300
1775002325.59604,3779,6035900
1775002327.59786,3779,6051300
1775002329.60531,3771,6061100
1775002331.59768,3774,6093800
1775002333.60753,3781,6122100
1775002335.59993,3781,6132100
1775002337.60783,3786,6180300
1775002339.6079,3786,6217200
1775002341.59894,3785,6221900
1775002343.60782,3788,6245800
1775002345.60594,3785,6324300
1775002347.61242,3786,6332500
1775002349.61888,3789,6339000
1775002351.62752,3786,6347400
1775002353.63617,3788,6354500
1775002355.64178,3787,6356400
1775002357.64828,3789,6362800
1775002359.65844,3787,6365500
1775002361.66765,3787,6371800
1775002363.6761,3786,6375900
1775002365.68661,3786,6379900
1775002367.67728,3787,6387000
1775002369.68666,3784,6413600
1775002371.67786,3784,6443600
1775002373.68743,3793,6451300
1775002375.67833,3793,6456200
1775002377.68889,3790,6466900
1775002379.69772,3785,6482700
1775002381.69567,3783,6489600
1775002383.69212,3780,6510600
1775002385.70135,3780,6521500
1775002387.69298,3781,6525300
1775002389.70023,3783,6532500
1775002391.69407,3783,6537600
1775002393.68981,3779,6548300
1775002395.69487,3782,6551000
1775002397.69153,3783,6556100
1775002399.69816,3781,6560500
1775002401.70618,3787,6584800
1775002403.71769,3787,6591400
1775002405.70881,3787,6611400
1775002407.71736,3785,6619100
1775002409.70839,3785,6622700
1775002411.71659,3783,6627000
1775002413.70665,3783,6632800
1775002415.71172,3784,6633100
1775002417.71633,3785,6638600
1775002419.70676,3784,6748600
1775002421.71643,3782,6779000
1775002423.70873,3781,6781000
1775002425.71965,3781,6783600
1775002427.72306,3780,6789200
1775002429.73157,3782,6796800
1775002431.72781,3781,6798400
1775002433.72036,3779,6809200
1775002435.73002,3780,6809400
1775002437.73804,3776,6830300
1775002439.74851,3779,6915500
1775002441.73788,3778,6920000
