MAX_TRADE,PERIOD_WARMUP,PERIOD_MA_1,PERIOD_MA_2,PERIOD_RSI,PERIOD_MOM,N_MINUS_MAX,N_POSITION_MIN,LOSSCUT_1,DD_RATIO_MAX,DD_THRESHOLD
200,300,30,300,300,300,300,15,-50,0.25,10
200,300,60,300,300,300,300,15,-50,0.25,10
200,300,90,300,300,300,300,15,-50,0.25,10
200,300,30,300,300,300,600,15,-50,0.25,10
200,300,60,300,300,300,600,15,-50,0.25,10
200,300,90,300,300,300,600,15,-50,0.25,10
200,300,30,300,300,300,900,15,-50,0.25,10
200,300,60,300,300,300,900,15,-50,0.25,10
200,300,90,300,300,300,900,15,-50,0.25,10
200,300,30,300,300,300,300,30,-50,0.25,10
200,300,60,300,300,300,300,30,-50,0.25,10
200,300,90,300,300,300,300,30,-50,0.25,10
200,300,30,300,300,300,600,30,-50,0.25,10
200,300,60,300,300,300,600,30,-50,0.25,10
200,300,90,300,300,300,600,30,-50,0.25,10
200,300,30,300,300,300,900,30,-50,0.25,10
200,300,60,300,300,300,900,30,-50,0.25,10
200,300,90,300,300,300,900,30,-50,0.25,10
200,300,30,300,300,300,300,45,-50,0.25,10
200,300,60,300,300,300,300,45,-50,0.25,10
200,300,90,300,300,300,300,45,-50,0.25,10
200,300,30,300,300,300,600,45,-50,0.25,10
200,300,60,300,300,300,600,45,-50,0.25,10
200,300,90,300,300,300,600,45,-50,0.25,10
200,300,30,300,300,300,900,45,-50,0.25,10
200,300,60,300,300,300,900,45,-50,0.25,10
200,300,90,300,300,300,900,45,-50,0.25,10
200,300,30,300,300,300,300,15,-50,0.5,10
200,300,60,300,300,300,300,15,-50,0.5,10
200,300,90,300,300,300,300,15,-50,0.5,10
200,300,30,300,300,300,600,15,-50,0.5,10
200,300,60,300,300,300,600,15,-50,0.5,10
200,300,90,300,300,300,600,15,-50,0.5,10
200,300,30,300,300,300,900,15,-50,0.5,10
200,300,60,300,300,300,900,15,-50,0.5,10
200,300,90,300,300,300,900,15,-50,0.5,10
200,300,30,300,300,300,300,30,-50,0.5,10
200,300,60,300,300,300,300,30,-50,0.5,10
200,300,90,300,300,300,300,30,-50,0.5,10
200,300,30,300,300,300,600,30,-50,0.5,10
200,300,60,300,300,300,600,30,-50,0.5,10
200,300,90,300,300,300,600,30,-50,0.5,10
200,300,30,300,300,300,900,30,-50,0.5,10
200,300,60,300,300,300,900,30,-50,0.5,10
200,300,90,300,300,300,900,30,-50,0.5,10
200,300,30,300,300,300,300,45,-50,0.5,10
200,300,60,300,300,300,300,45,-50,0.5,10
